Comments,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
Creative but you could've sprinkle ketchup or mayonnaise for the sake of the tortilla for extra moisture taste..,0.0,0.897,0.103,0.2382,neutral
Wow I'll try this recipe,0.0,0.513,0.487,0.5859,positive
Look yummy and interesting,0.0,0.247,0.753,0.7269,positive
yummy yummy yummy yummy my,0.0,0.068,0.932,0.9274,positive
It's looks yummy! I need to try this recipe,0.0,0.684,0.316,0.5707,positive
it's too yummy  to look maybe it's awesome to taste,0.0,0.516,0.484,0.8176,positive
wow very yummy food,0.0,0.211,0.789,0.8173,positive
The look delicious food.,0.0,0.448,0.552,0.5719,positive
so looks delicious,0.0,0.335,0.665,0.6096,positive
It looks yummy,0.0,0.37,0.63,0.5267,positive
good food,0.0,0.256,0.744,0.4404,neutral
I love macaroni,0.0,0.323,0.677,0.6369,positive
Wow  very Yummy foods,0.0,0.211,0.789,0.8173,positive
Wow delicious! Something I should try.,0.0,0.339,0.661,0.8313,positive
Nice recipe very tasty and beautiful amazing recipe,0.0,0.317,0.683,0.8948,positive
wow! Its yummy and testy,0.0,0.286,0.714,0.8172,positive
Great job delicious food,0.0,0.204,0.796,0.8316,positive
pasta I like it. yummy yummy,0.0,0.244,0.756,0.8519,positive
Yummy dish,0.0,0.227,0.773,0.5267,positive
looks so Delicious,0.0,0.334,0.666,0.6115,positive
Wow looks so delicious,0.0,0.204,0.796,0.8313,positive
That's looks really delicious,0.0,0.429,0.571,0.6115,positive
that's looks delicious yammy yammy,0.0,0.519,0.481,0.5719,positive
looks delicious and yummy,0.0,0.22,0.78,0.7964,positive
Wow what a great recipe!,0.0,0.268,0.732,0.8478,positive
Yummy food delicious,0.0,0.123,0.877,0.7964,positive
Yummy food enjoy,0.0,0.132,0.868,0.765,positive
Yummy food for all.,0.0,0.469,0.531,0.5267,positive
Look delicious and yummy,0.0,0.22,0.78,0.7964,positive
wow  so yummy food,0.0,0.211,0.789,0.8173,positive
So Delicious  food,0.0,0.334,0.666,0.6115,positive
Yummy and delicious,0.0,0.123,0.877,0.7964,positive
so yummy dish,0.0,0.351,0.649,0.5709,positive
"I love golden penny oo, but I will pass this ur recipe...no offense... thank you",0.123,0.59,0.287,0.5187,positive
Yummy yummy enjoy,0.0,0.0,1.0,0.875,positive
"I love golden penny products but this one, is no no no",0.0,0.553,0.447,0.7402,positive
So delicious I will try,0.0,0.5,0.5,0.6115,positive
That looks so good. I want to try this,0.0,0.569,0.431,0.6491,positive
Yummy yummy yummy yummy,0.0,0.0,1.0,0.9274,positive
wow! Mouth watering macaroni,0.0,0.423,0.577,0.6239,positive
wow looks delicious,0.0,0.118,0.882,0.8176,positive
Yummy pasta rolls,0.0,0.37,0.63,0.5267,positive
Yummy food sarap wow,0.0,0.217,0.783,0.802,positive
The food is very nice to look at,0.0,0.694,0.306,0.4754,neutral
It's looks yummy,0.0,0.37,0.63,0.5267,positive
She said just macaroni and a few ingredients...,0.0,1.0,0.0,0.0,neutral
Wow looks delicious food,0.0,0.211,0.789,0.8176,positive
Yummy yummy yummy,0.0,0.0,1.0,0.8807,positive
looks delicious,0.0,0.213,0.787,0.5719,positive
Wow yummy I try this,0.0,0.294,0.706,0.802,positive
Magnificent this looks and im confident to say that it also feels good,0.0,0.5,0.5,0.875,positive
wow delicious.,0.0,0.0,1.0,0.8176,positive
Wow yummy yummy,0.0,0.0,1.0,0.891,positive
Wow so look good delicious,0.0,0.155,0.845,0.8988,positive
Yummy testy delicious,0.0,0.123,0.877,0.7964,positive
Yummy delicious,0.0,0.0,1.0,0.7964,positive
Yummy Food,0.0,0.227,0.773,0.5267,positive
Looks really good,0.0,0.385,0.615,0.4927,neutral
Yummy recipe,0.0,0.227,0.773,0.5267,positive
Wow that's great nice.. so yummy,0.0,0.122,0.878,0.9371,positive
looks yummy,0.0,0.227,0.773,0.5267,positive
Yummy abd delicious,0.0,0.123,0.877,0.7964,positive
So delicious  yemmy yemmy,0.0,0.429,0.571,0.6115,positive
How Nice food,0.0,0.417,0.583,0.4215,neutral
Wow very nice yummy,0.0,0.086,0.914,0.8903,positive
yummy  delicious,0.0,0.0,1.0,0.7964,positive
Wow its so yummy” im try diz one,0.0,0.648,0.352,0.5859,positive
Nice dish,0.0,0.263,0.737,0.4215,neutral
Looking yummy,0.0,0.227,0.773,0.5267,positive
Very yummy,0.0,0.213,0.787,0.5709,positive
So so yummy,0.0,0.335,0.665,0.6087,positive
The taste is irresistible no matter how little your ingredient is the flavor always comes out nice the price keeps increasing every single day,0.039,0.77,0.191,0.6281,positive
"I like its texture, taste and flavor. But since I've been in Nigeria, I haven't found Golden Penny couscous, which is the one I would love to eat at home here, but it's nowhere to be found in the markets.",0.0,0.834,0.166,0.8201,positive
The passion of eating a delicious pasta for dinner,0.0,0.511,0.489,0.7717,positive
The taste and texture,0.0,1.0,0.0,0.0,neutral
The texture and taste,0.0,1.0,0.0,0.0,neutral
Outstanding choice!,0.0,0.189,0.811,0.6476,positive
Firm texture,0.0,1.0,0.0,0.0,neutral
"It's not soggy, the taste is delicious and inviting,it's non sticking",0.0,0.73,0.27,0.5719,positive
Demure,0.0,1.0,0.0,0.0,neutral
One love,0.0,0.192,0.808,0.6369,positive
"stray bullet meet me for no just reason. since my bladder spoil, na so people they look me like mad woman because any time i went to engine to grand my tomatoes,i end up breaking the tomatoes    , i don't like eating smooth tomatoes stew, and i hat…",0.134,0.768,0.098,-0.2523,neutral
